Event,Particle,Px,Py,Pz,Energy,Mass,PID
4143,Electron-,-19.730028930393985,-19.119350678334314,36.343788104593045,45.559790851046415,0.0005109999910928,11
4143,Photon,-15.92496069196035,35.87308581867368,-8.595599430289013,40.17918559088512,0.0,22
4187,Higgs,-9.156499090036471,2.463556813840414,40.11268887553466,131.62043305120332,125.0,25
4187,Z Boson,8.881784197001252e-16,-3.469446951953614e-16,-3.552713678800501e-15,90.40225296286602,90.40225219726562,23
4187,Muon+,31.48328564622028,23.026198724097593,-22.841357282116512,45.2011259137971,0.1056599989533424,-13
4187,Muon-,-31.483284201050175,-23.026198728041496,22.84135626422584,45.20112663824558,0.1056599989533424,13
4187,Photon,-9.156499090036473,2.4635568138404143,40.11268887553466,41.21818008833732,0.0,22
4359,Higgs,-21.002753423373896,-18.275128556135023,24.67380083240978,130.41814452990707,125.0,25
4359,Z Boson,0.0,5.551115123125783e-16,0.0,93.21744056248605,93.21743774414062,23
4359,Muon+,-41.614150543869364,-18.27525511326263,10.326630628970449,46.60872153816225,0.1056599989533424,-13
4359,Muon-,41.614149588628294,18.27525511189934,-10.326631342385575,46.60871904337748,0.1056599989533424,13
4359,Photon,-21.0027534233739,-18.275128556135023,24.673800832409768,37.20070396742102,0.0,22
4406,Higgs,37.446627010762846,11.476348036365815,-7.334649143238574,131.19738380314374,125.0,25
4406,Z Boson,7.105427357601002e-15,-6.661338147750939e-16,0.0,91.35075895395818,91.35076141357422,23
4406,Electron+,-29.144910590211374,-25.29232072132733,24.435896753132663,45.67537830978181,0.0005109999910928,-11
4406,Electron-,29.14490860805467,25.29232165207505,-24.435896261642892,45.67538013236429,0.0005109999910928,11
4406,Photon,37.44662701076284,11.476348036365815,-7.334649143238584,39.846624849185574,0.0,22
4468,Higgs,-30.654038100997578,0.4825710663640227,-21.71048398091041,130.52297897848052,125.0,25
4468,Z Boson,0.0,2.7755575615628914e-17,-3.552713678800501e-15,92.95639824773437,92.9563980102539,23
4468,Electron+,36.40703074831765,23.110931913973182,-17.338854652268452,46.478200081943264,0.0005109999910928,-11
4468,Electron-,-36.40703275185258,-23.110931197203236,17.338852676796623,46.478198967571586,0.0005109999910928,11
4468,Photon,-30.654038100997578,0.4825710663640227,-21.710483980910418,37.56658073074617,0.0,22
4476,Higgs,-8.11717218247738,-17.081374330851226,32.44083018755674,130.5184634315335,125.0,25
4476,Z Boson,8.881784197001252e-16,-1.1102230246251565e-15,3.552713678800501e-15,92.9675713819603,92.9675750732422,23
4476,Muon+,-22.63672952734799,-1.9153147084403164,40.55417768575436,46.48378670727507,0.1056599989533424,-13
4476,Muon-,22.636728323989907,1.915314183018189,-40.554176687876215,46.48378871972175,0.1056599989533424,13
4476,Photon,-8.117171934760945,-17.081373809569047,32.44082919754116,37.55088806646577,0.0,22
4505,Higgs,22.740712188708464,-3.142667744942611,32.13634657960513,131.0906599376526,125.0,25
4505,Z Boson,0.0,0.0,0.0,91.59684692613642,91.59684753417967,23
4505,Muon+,-12.713035422153496,23.429339633230494,-37.24149963471179,45.79842305103148,0.1056599989533424,-13
4505,Muon-,12.713033967999966,-23.429339391544683,37.24149960130171,45.798423608864,0.1056599989533424,13
4505,Photon,22.74071184171273,-3.1426676969893066,32.13634608924339,39.49381101123143,0.0,22
4528,Higgs,22.022676023176086,-11.990640286974193,31.146141587908044,131.2396885455288,125.0,25
4528,Z Boson,-3.552713678800501e-15,-2.220446049250313e-16,3.552713678800501e-15,91.25399394840112,91.25399017333984,23
4528,Electron+,20.091347997010104,-30.139032536847584,27.74525787263299,45.626996932211675,0.0005109999910928,-11
4528,Electron-,-20.091347036757654,30.139033486940324,-27.745257863329684,45.626997092727805,0.0005109999910928,11
4528,Photon,22.02267602317609,-11.990640286974193,31.146141587908033,39.98569459712766,0.0,22
4596,Higgs,21.683472386209196,31.46722384188911,-8.297133023525584,130.9740492137627,125.0,25
4596,Z Boson,-3.552713678800501e-15,3.885780586188048e-16,-8.881784197001252e-16,91.86904035523362,91.8690414428711,23
4596,Electron+,-30.0085335241017,-34.43488945798576,-4.868951040161676,45.934521982762234,0.0005109999910928,-11
4596,Electron-,30.008531241421036,34.434888389931956,4.86895093806956,45.93452138512237,0.0005109999910928,11
4596,Photon,21.683472055345668,31.46722336173738,-8.297132896921392,39.10500686002367,0.0,22
4623,Higgs,-20.553542706316115,21.32810895203608,-31.596588132345083,132.29013844899904,125.0,25
4623,Z Boson,1.7763568394002505e-15,7.771561172376096e-16,3.552713678800501e-15,88.98100788622438,88.98101043701172,23
4623,Muon+,0.5749479032263549,44.23474477617619,4.727631151833599,44.490505844813725,0.1056599989533424,-13
4623,Muon-,-0.5749489712043481,-44.23474797745532,-4.727632537420833,44.490505626640015,0.1056599989533424,13
4623,Photon,-20.553542392693945,21.328108626594965,-31.596587650219423,43.30912854418734,0.0,22
4682,Higgs,16.945580048657934,13.80583518938892,-33.477042884488135,131.2382039223027,125.0,25
4682,Z Boson,-1.7763568394002505e-15,1.4432899320127035e-15,0.0,91.2573806777537,91.25738525390624,23
4682,Muon+,28.478669838728884,33.700425097793826,-11.628109382807153,45.62869023291531,0.1056599989533424,-13
4682,Muon-,-28.478670791659656,-33.70042700453668,11.628108070036042,45.62869045608173,0.1056599989533424,13
4682,Photon,16.9455797900889,13.80583497872859,-33.477042373669,39.980821242012894,0.0,22
4723,Higgs,-33.1669688700487,3.543988432149943,25.5583654556925,131.87432548756686,125.0,25
4723,Z Boson,-3.552713678800501e-15,-1.942890293094024e-16,-3.552713678800501e-15,89.85245366117796,89.85245513916016,23
4723,Muon+,23.7083799375873,-18.723272195064148,-33.25216376686126,44.926228842447486,0.1056599989533424,-13
