Event,Particle,Px,Py,Pz,Energy,Mass,PID
4168,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4168,Electron+,13.240443229675293,-11.229167938232422,-1.429735541343689,17.419750213623047,0.0005109999910928309,-11
4168,Electron-,18.670400619506836,-41.398555755615234,-5.048572540283203,45.69367980957031,0.0005109999910928309,11
4168,Photon,-31.910842895507812,52.627723693847656,6.478308200836182,61.88656997680664,0.0,22
4169,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4169,Electron+,-10.393316268920898,-9.844111442565918,-0.5981846451759338,14.327783584594727,0.0005109999910928309,-11
4169,Electron-,-34.86963653564453,-33.17365646362305,-2.044687032699585,48.1722297668457,0.0005109999910928309,11
4169,Photon,45.26295471191406,43.01776885986328,2.642871618270874,62.49998474121094,0.0,22
4170,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4170,Electron+,-33.36496353149414,2.690274953842163,31.632766723632812,46.055294036865234,0.0005109999910928309,-11
4170,Electron-,-11.42525863647461,2.7115302085876465,11.56653881072998,16.482528686523438,0.0005109999910928309,11
4170,Photon,44.79022216796875,-5.401805400848389,-43.19930648803711,62.46217727661133,0.0,22
4171,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4171,Electron+,-0.7050926685333252,0.8014070987701416,-3.7367970943450928,3.886265993118286,0.0005109999910928309,-11
4171,Electron-,-9.505440711975098,12.44819164276123,-56.48276901245117,58.61410903930664,0.0005109999910928309,11
4171,Photon,10.210533142089844,-13.24959945678711,60.219566345214844,62.4996223449707,0.0,22
4172,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4172,Electron+,61.267662048339844,7.883224010467529,2.057628870010376,61.807003021240234,0.0005109999910928309,-11
4172,Electron-,0.6877543330192566,0.08199260383844376,0.02314833551645279,0.693011462688446,0.0005109999910928309,11
4172,Photon,-61.95541763305664,-7.965216636657715,-2.080777168273926,62.49998474121094,0.0,22
4173,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4173,Muon+,0.10930124670267105,55.416900634765625,-20.292781829833984,59.01570129394531,0.10565999895334244,-13
4173,Muon-,0.10087776929140091,3.1604204177856445,-1.477724552154541,3.4918859004974365,0.10565999895334244,13
4173,Photon,-0.21017901599407196,-58.57732009887695,21.770505905151367,62.49241256713867,0.0,22
4174,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4174,Electron+,26.0162353515625,10.681519508361816,-29.346694946289062,40.64686965942383,0.0005109999910928309,-11
4174,Electron-,14.078899383544922,5.819799900054932,-15.667880058288574,21.853328704833984,0.0005109999910928309,11
4174,Photon,-40.09513473510742,-16.501319885253906,45.01457595825195,62.49980163574219,0.0,22
4175,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4175,Muon+,34.525455474853516,44.14974594116211,1.8344759941101074,56.07658767700195,0.10565999895334244,-13
4175,Muon-,6.042185306549072,0.4622141718864441,-5.938225269317627,8.485006332397461,0.10565999895334244,13
4175,Photon,-40.5676383972168,-44.611961364746094,4.1037492752075195,60.43840789794922,0.0,22
4176,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4176,Electron+,-26.7718563079834,-39.50495529174805,-3.6437740325927734,47.86074447631836,0.0005109999910928309,-11
4176,Electron-,-3.289055824279785,-14.550108909606934,-1.9095664024353027,15.038949012756348,0.0005109999910928309,11
4176,Photon,30.060911178588867,54.0550651550293,5.553340435028076,62.10030746459961,0.0,22
4177,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4177,Electron+,-3.9700210094451904,12.37686538696289,5.963679790496826,14.300816535949707,0.0005109999910928309,-11
4177,Electron-,-13.449793815612793,41.76551055908203,19.947681427001953,48.19921875,0.0005109999910928309,11
4177,Photon,17.419815063476562,-54.14237594604492,-25.911359786987305,62.499961853027344,0.0,22
4178,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4178,Electron+,-25.782703399658203,32.85224914550781,35.6536865234375,54.91086959838867,0.0005109999910928309,-11
4178,Electron-,-4.08782434463501,4.428463935852051,4.630181312561035,7.600011825561523,0.0005109999910928309,11
4178,Photon,29.870527267456055,-37.28071212768555,-40.28386688232422,62.48912048339844,0.0,22
4179,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4179,Muon+,-16.195232391357422,25.87187957763672,26.931379318237305,40.705650329589844,0.10565999895334244,-13
4179,Muon-,-11.265495300292969,18.175159454345703,6.743412017822266,22.42169952392578,0.10565999895334244,13
4179,Photon,27.46072769165039,-44.04703903198242,-33.67478942871094,61.872650146484375,0.0,22
4180,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4180,Electron+,-15.894835472106934,-46.00001525878906,12.105968475341797,50.15178298950195,0.0005109999910928309,-11
4180,Electron-,-0.15783406794071198,-10.028940200805664,8.379351615905762,13.06973934173584,0.0005109999910928309,11
4180,Photon,16.052669525146484,56.028953552246094,-20.485319137573242,61.77847671508789,0.0,22
4181,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4181,Electron+,-4.809995651245117,4.076813220977783,-0.49448007345199585,6.32463264465332,0.0005109999910928309,-11
4181,Electron-,-31.82697296142578,42.391876220703125,-19.093095779418945,56.34335708618164,0.0005109999910928309,11
4181,Photon,36.636966705322266,-46.46868896484375,19.587575912475586,62.33201217651367,0.0,22
4182,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4182,Electron+,5.1579670906066895,8.270353317260742,-4.6741437911987305,10.80976390838623,0.0005109999910928309,-11
4182,Electron-,24.706228256225586,39.517662048339844,-22.35704231262207,51.69023895263672,0.0005109999910928309,11
4182,Photon,-29.864194869995117,-47.78801727294922,27.031187057495117,62.499996185302734,0.0,22
4183,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4183,Electron+,13.012495040893555,7.877862930297852,-2.869252920150757,15.479610443115234,0.0005109999910928309,-11
4183,Electron-,39.5314826965332,23.92220687866211,-8.712462425231934,47.020389556884766,0.0005109999910928309,11
4183,Photon,-52.543975830078125,-31.80006980895996,11.581714630126953,62.5,0.0,22
