Event,Particle,Px,Py,Pz,Energy,Mass,PID,Vx,Vy,Vz
1532,Electron-,-16.05259055180498,-16.928259813615746,39.15400143279041,45.57726812110399,0.0005109999910928,11,-0.35220607143788035,-0.3714189224469407,0.8590686332659029
1532,Photon,-9.05253247588001,0.9217050600552807,-39.083570317378665,40.12883352046559,0.0,22,-0.22558673357059444,0.022968648206163626,-0.9739523152958373
1575,Higgs,-2.0047678339061283,-40.268705034444224,-7.755325510406453,131.57025793465368,125.0,25,-0.01523724180051259,-0.3060623705278762,-0.058944366547173985
1575,Z Boson,-2.220446049250313e-16,1.1171619185290638e-15,8.881784197001252e-16,90.51258295330476,90.51258087158205,23,-2.453190459050137e-18,1.2342614497096002e-17,9.812761836200548e-18
1575,Muon+,10.110861844777263,-12.571170481612777,42.28305554057077,45.25628945625617,0.1056599989533424,-13,0.22341340764470366,-0.2777773130022915,0.9343023046871912
1575,Muon-,-10.110862020938118,12.57117244740632,-42.28305673024192,45.25628934400005,0.1056599989533424,13,-0.22341341209138674,0.27777735712821916,-0.9343023332921059
1575,Photon,-2.0047678644964577,-40.2687056488959,-7.755325628743339,41.05767698895171,0.0,22,-0.048828087985492326,-0.9807838290444899,-0.1888885635402664
1799,Higgs,33.84236813947038,18.9195622332257,-7.911737072222578,131.11388675454754,125.0,25,0.2581142926746209,0.14429869101999981,-0.06034247987044872
1799,Z Boson,0.0,-1.1102230246251563e-16,0.0,91.54304496141036,91.54304504394533,23,0.0,-1.2127879568493344e-18,0.0
1799,Muon+,-20.31537437347649,40.98713620163839,-1.5366981438744538,45.77152264564137,0.1056599989533424,-13,-0.4438430971754233,0.8954724211155651,-0.033573236262455584
1799,Muon-,20.315374873223785,-40.98713756302787,1.5366980347758623,45.77152589171408,0.1056599989533424,13,0.44384307661679756,-0.8954723873526726,0.033573231497926695
1799,Photon,33.84236710668326,18.91956165584648,-7.911736830775533,39.570837791858885,0.0,22,0.8552350416408375,0.4781188044428743,-0.1999385727537782
1870,Higgs,-5.605577938456439,-30.300302430108477,-27.674800342984824,131.68304904354326,125.0,25,-0.042568713127251925,-0.23010024942609858,-0.21016220799864435
1870,Z Boson,0.0,-2.7755575615628917e-15,0.0,90.26535666701923,90.26535034179688,23,0.0,-3.0748868270710696e-17,0.0
1870,Muon+,16.170011477759687,21.37509759968901,36.31230097906813,45.13267857841899,0.1056599989533424,-13,0.3582772391774609,0.473605783502287,0.8045678236441192
1870,Muon-,-16.170011959237414,-21.375096671098746,-36.3123029093273,45.13267830109479,0.1056599989533424,13,-0.35827725204699795,-0.47360576583774877,-0.8045678713564505
1870,Photon,-5.60557802399077,-30.3003028924544,-27.67480076526877,41.41769438584792,0.0,22,-0.1353425898546914,-0.731578697022009,-0.6681878645259649
1958,Higgs,3.553641211356174,8.176165341020708,39.94442573928357,131.52959816400224,125.0,25,0.027017806341392402,0.06216217075966409,0.30369153632992535
1958,Z Boson,0.0,6.661338147750939e-16,-3.552713678800501e-15,90.60240387022,90.60240173339844,23,0.0,7.35227528542479e-18,-3.9212134855598886e-17
1958,Muon+,3.273371032868908,-34.03116089066915,-29.721255236835656,45.30120351012353,0.1056599989533424,-13,0.07225792648394877,-0.751219796689599,-0.6560809191348261
1958,Muon-,-3.273370695215336,34.03116016531323,29.72125444493017,45.30120370895654,0.1056599989533424,13,-0.07225791871327593,0.7512197773805489,0.6560808987743069
1958,Photon,3.553641211356174,8.176165341020706,39.94442573928357,40.92719429378223,0.0,22,0.08682836125651675,0.1997734142812436,0.9759873948982629
2003,Higgs,-6.737221557030028,-31.6301616308986,-26.59240077923379,131.82569195080555,125.0,25,-0.0511070448964092,-0.23993928014200963,-0.20172396128333991
2003,Z Boson,0.0,-5.9952043329758445e-15,3.552713678800501e-15,89.95669434379604,89.95669555664062,23,0.0,-6.664544953223162e-17,3.9493599722803924e-17
2003,Electron+,12.505385254110887,25.748954425789748,34.69378090164504,44.97834456943937,0.0005109999910928,-11,0.278031247566361,0.5724744801587235,0.7713441042296119
2003,Electron-,-12.50538456897934,-25.7489515405328,-34.69378198683758,44.97834564878524,0.0005109999910928,11,-0.27803122566196653,-0.5724744022733574,-0.7713441098466585
2003,Photon,-6.737221659831871,-31.63016211353656,-26.592401185001638,41.86899961850991,0.0,22,-0.16091193296276907,-0.7554554061891927,-0.635133426336878
2020,Higgs,-6.623176612548066,-36.9549232495304,-15.44186468498288,131.4267248536956,125.0,25,-0.050394443138722315,-0.2811827144796363,-0.11749409948526668
2020,Z Boson,0.0,1.1657341758564144e-15,0.0,90.83135762508512,90.83135223388672,23,0.0,1.2834049895720933e-17,0.0
2020,Electron+,-24.953135021678783,25.8652919193149,27.76529496271869,45.41567590826502,0.0005109999910928,-11,-0.5494388120983059,0.5695234388135083,0.6113592808527549
2020,Electron-,24.95313473783374,-25.865292749837533,-27.765292605411027,45.41567805952337,0.0005109999910928,11,0.54943877982245,-0.5695234301233503,-0.6113591999886221
2020,Photon,-6.623176713609722,-36.954923813417786,-15.441864920607047,40.59536923402315,0.0,22,-0.163151040095943,-0.9103236283030456,-0.3803848865516699
2050,Higgs,-24.540057857932517,-5.611172307662057,32.46898724880078,131.57862602755714,125.0,25,-0.18650489520078267,-0.042645013685481736,0.24676490573781068
2050,Z Boson,3.552713678800501e-15,-2.220446049250313e-16,0.0,90.4941426653184,90.494140625,23,3.9259045659339314e-17,-2.453690353708707e-18,0.0
2050,Muon+,-32.91273148213924,15.349096984770185,26.989695262477383,45.2470727328585,0.1056599989533424,-13,-0.7274002381647545,0.339228508226205,0.5964959417778517
2050,Muon-,32.912731480091985,-15.34909746207545,-26.98969525976868,45.247069953864845,0.1056599989533424,13,0.7274002827951226,-0.33922853960987553,-0.5964959783536948
2050,Photon,-24.540057857932517,-5.611172307662057,32.468987248800765,41.0844833622387,0.0,22,-0.5973072033440151,-0.13657643588185805,0.7902980539520048
2095,Higgs,-34.74878792996926,-11.622892158593343,1.4232493406682567,130.2674000792907,125.0,25,-0.2667496849466443,-0.08922333716278028,0.010925598728476643
2095,Z Boson,-3.552713678800501e-15,3.3306690738754696e-16,0.0,93.59867340209014,93.59867095947266,23,-3.7956880687169714e-17,3.558457564422161e-18,0.0
2095,Electron+,22.55354567791958,-31.51726423955204,26.233139360295112,46.79933568928026,0.0005109999910928,-11,0.48192020988634754,-0.6734553765636315,0.5605451225732678
2095,Electron-,-22.553543698577847,31.517264263632534,-26.233139244034536,46.799337183942775,0.0005109999910928,11,-0.48192015220070566,0.6734553555695733,-0.5605451021865184
2095,Photon,-34.74878846019368,-11.622892335944602,1.4232493623853082,36.66872866492333,0.0,22,-0.9476409388971745,-0.31697014756507935,0.03881370896141169
2124,Higgs,-18.118549697399583,33.72523030797158,8.641264567136215,131.01658084296852,125.0,25,-0.1382920358692293,0.25741192520047024,0.06595550358235425
2124,Z Boson,1.7763568394002505e-15,1.1102230246251563e-16,-8.881784197001252e-16,91.76936020566473,91.76935577392578,23,1.9356753010146842e-17,1.2097970631341774e-18,-9.678376505073421e-18
2124,Electron+,5.240250521641618,-1.3321310735748586,45.564996119464496,45.88467911330794,0.0005109999910928,-11,0.11420479826613385,-0.0290321540722838,0.9930329033563902
2124,Electron-,-5.240249838943681,1.3321300247169274,-45.564998295557295,45.88467694491359,0.0005109999910928,11,-0.11420478878460477,0.02903213258570401,-0.9930329977098872
2124,Photon,-18.118549973866717,33.72523082257776,8.641264698991439,39.24722263645819,0.0,22,-0.46165177448851447,0.8593023545887588,0.22017518994998259
2128,Higgs,-15.809524156822215,-32.728956659934994,21.10170958559148,131.87648693208237,125.0,25,-0.11988129593537222,-0.24817886358157776,0.16001115950608433
2128,Z Boson,1.7763568394002505e-15,-2.7755575615628917e-15,1.7763568394002505e-15,89.84783525318898,89.84783172607422,23,1.9770724963985176e-17,-3.089175775622684e-17,1.9770724963985176e-17
2128,Electron+,-30.753219651549248,30.013904115375567,13.098214848977978,44.92391666656982,0.0005109999910928,-11,-0.684562298514686,0.6681052397577445,0.2915644009001786
2128,Electron-,30.753219163011536,-30.013903152447423,-13.098214516143194,44.92391484367855,0.0005109999910928,11,0.6845623154175968,-0.6681052454330083,-0.2915644053222201
2128,Photon,-15.809524639290604,-32.728957658743475,21.10171022956453,42.02865570344437,0.0,22,-0.3761606069640473,-0.7787295860633782,0.5020791142704853
2148,Higgs,32.462408804314016,14.838780230106355,16.779118852987402,131.0745444912111,125.0,25,0.24766371632510772,0.11320871102551369,0.12801203252789092
