Event,Angle (rad)
265.0,0.7686535533485969
266.0,0.7651885989957193
268.0,2.1487131647300957
269.0,2.16176391160107
272.0,0.7477231140086419
275.0,0.4439477900347989
276.0,0.6388748447948903
277.0,2.226607388397703
278.0,2.0335682491188116
280.0,0.3032780762123586
283.0,1.8401282251553852
286.0,0.6893306180090417
287.0,1.3696594353335003
290.0,0.07951380244353251
291.0,1.5861920352654462
292.0,1.574586089059461
294.0,2.0903194172718473
295.0,1.867948889563827
297.0,2.587273476158212
300.0,1.4125408860771258
301.0,2.1567442548025544
302.0,3.0543034998173546
303.0,2.445899649446548
305.0,1.1105671658103315
307.0,0.36510820695289337
311.0,0.7078831491000713
313.0,2.60070914711981
315.0,2.116328016170633
322.0,1.8228945880432172
323.0,1.6553030149263621
324.0,1.929844918051453
325.0,2.5912742197130463
327.0,1.232191300642369
328.0,2.5658516809019387
330.0,0.935051437939597
331.0,1.4451798771031004
335.0,0.7301571741128989
336.0,1.728016872088231
338.0,2.6916314735187914
339.0,0.5963175277068143
340.0,1.0498396546884545
341.0,2.0198010007843994
345.0,1.2878515477360288
346.0,1.101520171510382
348.0,0.49212306491604035
350.0,2.3564048566345255
352.0,1.6112186810646378
354.0,1.2483154477257719
355.0,0.5212705707902668
356.0,1.692261711387078
359.0,2.73532490903357
360.0,1.464566214237984
365.0,0.8306638286348648
369.0,2.4431187650883586
370.0,0.7105096337121672
372.0,1.1239891399387507
375.0,0.4272352395725323
385.0,2.051664010846699
386.0,2.6489535753064724
388.0,1.4125040204331938
389.0,1.0337306758476323
391.0,1.687643247121859
392.0,0.9088168867784533
393.0,2.159768416370708
397.0,0.5040676823161332
398.0,1.4866378983860413
401.0,1.9825827796044466
403.0,1.774122059515593
404.0,2.2127032552980093
407.0,1.0721038774444291
408.0,2.3806883725718655
409.0,0.655140633503669
412.0,2.5190205673561077
414.0,1.688002314008323
416.0,2.274427451854636
418.0,2.9473669790440065
419.0,0.5021473680581048
420.0,2.6145791551364113
421.0,0.41470063224725057
422.0,2.6990683059964717
424.0,2.754137335643878
427.0,2.271638618358034
430.0,2.2064535630096933
431.0,1.3605062196831765
434.0,2.5582331567593934
438.0,1.9600036101079912
439.0,1.7055818248731323
442.0,1.4047406091550834
444.0,0.9105626273994187
445.0,1.3943317350626887
446.0,0.0856249469095275
449.0,1.1313104128944347
450.0,0.7449197939463641
454.0,1.3777724993566614
456.0,1.3422043057931632
460.0,2.252398049088092
462.0,0.7858136966362329
464.0,1.0814262162391066
465.0,1.7701146724689591
466.0,0.9008917758671109
467.0,1.084508879271504
468.0,2.284760442815722
471.0,2.2016664192234177
472.0,1.7481900075942087
474.0,0.7431343672952991
475.0,2.4827756673860737
476.0,1.2105394755913794
477.0,2.321011104272997
478.0,0.9378434319543183
480.0,0.7472983780753195
481.0,1.6929813792483401
483.0,2.6180156945854898
484.0,1.5561774445025471
490.0,2.3959781477315154
500.0,0.8550662991303315
504.0,1.4524185622076682
505.0,2.7433596100671256
506.0,1.7715020376518062
507.0,1.3805046000516772
508.0,1.5193214486424198
510.0,0.9638046884841946
512.0,2.980692273557728
513.0,1.1980656140681678
514.0,1.08341086486354
517.0,1.044607039623365
518.0,2.1954489898409317
520.0,1.1768119617133161
521.0,1.6882120041761712
522.0,1.2236191534142764
525.0,1.0630799748110036
526.0,0.49752062135145575
528.0,2.1812706222291074
529.0,2.406406727584661
530.0,0.9963980246903656
531.0,2.1786173110328124
532.0,2.8300107729078596
534.0,2.245746582599409
535.0,1.1645419986988912
536.0,1.7272375692796402
537.0,1.0389076829272297
538.0,1.7738866602744194
539.0,1.2772784759902378
540.0,2.1062618210424313
541.0,1.063883687537896
543.0,1.5803533721346246
545.0,1.6558603853928848
546.0,1.0197918295469186
547.0,2.902701626460533
552.0,0.9731572204769446
553.0,1.6317844253206069
554.0,2.540136451936778
558.0,1.4057926987656224
559.0,2.777545045705022
561.0,0.9410064895108412
562.0,2.115274517845333
563.0,2.871840991043479
564.0,1.503984905349273
566.0,1.1561832400975967
567.0,2.3228686214161174
568.0,1.538701727107255
571.0,2.698844870576584
572.0,1.749504297157778
574.0,1.5872950160430161
575.0,1.8625230489319413
577.0,1.2117575542992511
578.0,2.1591671447771765
579.0,1.4456686968535724
581.0,1.348901029528208
584.0,2.011649726441142
588.0,2.7431977463198196
589.0,2.6725134640491484
591.0,0.24546040834414798
592.0,1.3200087788330057
594.0,1.071445588324454
595.0,2.0694985089024645
596.0,1.389717429144898
597.0,1.9302340673518266
600.0,2.3972911973090696
601.0,1.9428490666835163
604.0,2.699609576219508
609.0,2.238633699989919
610.0,1.2958175492372566
611.0,1.46641501548488
612.0,1.701849395190982
613.0,1.3346965835930038
614.0,2.6781833866201166
616.0,2.082519646062343
617.0,0.4707795010644977
619.0,1.5555271989397796
620.0,1.7309083127156701
623.0,2.5344549032773505
624.0,1.4080046405456785
625.0,0.3000920937375996
626.0,1.6194703450566235
627.0,1.0816231088769308
628.0,2.2523236958219264
629.0,1.5028353504897571
632.0,2.5391064531564163
633.0,1.759132224786816
638.0,2.3626149289959355
639.0,0.9348893821126811
642.0,2.627974504130386
646.0,2.431474853439912
651.0,1.4757655238073708
652.0,1.6618031646036195
653.0,0.6675938590491015
654.0,1.1689839782929214
656.0,0.3870483726300714
658.0,2.6243310506514033
659.0,1.460677679241459
660.0,1.7573035439022686
662.0,0.6418528173640583
663.0,1.127858942892784
664.0,1.2415736501048513
665.0,1.4496652644654786
672.0,1.6288824867363154
673.0,2.087225359101624
677.0,0.8848284025154196
679.0,0.8404913719409113
681.0,2.0855887026040327
682.0,1.240222849230213
684.0,2.0417819743755845
688.0,0.04394632853948904
690.0,0.9072083495883708
693.0,2.1240572527309802
695.0,1.7098554073881764
698.0,0.7925963273706609
700.0,1.3031287551143362
701.0,0.248105204160587
702.0,1.4103883537286293
706.0,2.549447310625484
708.0,2.8886057804414547
