Event,Angle (rad)
332.0,1.6123933181988748
335.0,2.414654182205695
336.0,0.7502265909603786
338.0,1.2120644077695555
341.0,1.2232085827087102
345.0,0.8716723366446647
346.0,1.1731460017778825
348.0,0.5391553671441511
351.0,1.1276244135601028
352.0,0.9025379101083257
361.0,1.0580292966886993
363.0,1.869054077601527
364.0,2.7032970817357307
366.0,2.2572142808905697
367.0,1.422570724255995
368.0,1.2173742451531782
373.0,0.9937117988533382
374.0,1.6381085329913434
377.0,0.4889830879344963
379.0,2.0506563198368872
383.0,2.971616766736607
384.0,0.7580537994949844
385.0,2.6730812568239863
387.0,1.9918709001596024
389.0,0.9224372444817456
391.0,1.8322549553196832
393.0,2.101774899755855
394.0,1.0379415640145846
395.0,1.5839861590664768
396.0,2.3800165822158275
397.0,1.8504788635893539
399.0,1.116139936281667
402.0,1.3019904925632022
404.0,1.4943525746144908
405.0,2.669207447365236
406.0,1.289091652151526
407.0,2.123553415045964
408.0,1.4877557242139405
410.0,1.3355179788305822
412.0,1.7395569571587466
413.0,1.627370403610293
416.0,1.8535360620802546
418.0,1.174676628992829
420.0,2.447571643925139
423.0,2.7893389617734123
424.0,1.0023389694402567
426.0,2.0153885006599492
427.0,0.7958823939648431
432.0,1.0301903101505157
434.0,2.717260471380061
435.0,2.454944570416982
436.0,2.0987210063602
437.0,1.9599986705239678
439.0,0.7809144195591714
442.0,0.9576514407670733
443.0,0.9838686427528096
444.0,2.33367536215446
445.0,1.767904850340547
446.0,0.9837482969494135
447.0,0.9522818412108832
448.0,2.8249029108362085
450.0,1.8591447014250246
451.0,1.9519834483984704
453.0,0.8808867468884277
454.0,2.812472100814499
461.0,0.9301507462343714
465.0,1.1850409412789942
466.0,1.610773716919012
467.0,2.1440949934441256
470.0,2.637037136322221
471.0,2.4648334599441823
472.0,0.531177744943783
473.0,1.5472008268459552
474.0,0.8501264395587704
475.0,0.9939631679690628
476.0,0.48384868353690946
478.0,0.25653507065291115
481.0,2.402428127969917
482.0,1.0972412183845215
483.0,1.8340367353425542
486.0,1.6788426290439622
487.0,1.8943140492237733
489.0,2.6189682672318795
490.0,1.4189066035607212
491.0,1.7631769404858295
495.0,1.3633597738737342
496.0,1.6640097922510115
497.0,1.2081933494671893
498.0,0.6686764606211162
499.0,2.3082671388017446
500.0,0.8914632975254647
501.0,1.4985149445720818
503.0,2.559409264254096
504.0,1.9161822881718402
505.0,0.409608534062808
506.0,2.0938173685451615
507.0,1.0891088071756971
508.0,1.207313091195203
509.0,2.1950655659643865
510.0,1.0778680477191285
512.0,1.0437504900294186
514.0,1.5994857037507142
515.0,2.3283927766624357
521.0,2.4779414283100833
522.0,0.7640749512796228
523.0,0.5510831207334583
527.0,1.246396179046947
528.0,1.1455290362397579
530.0,3.098267522455134
531.0,1.1755513478679585
533.0,2.40792377192847
534.0,0.7542978501635196
536.0,0.9250242808146556
537.0,1.6155871976548783
