Event,Angle
526,54.83659695087107
527,29.87044823598718
528,17.73221328273117
529,104.86524503891138
531,26.730519406146378
532,6.679662330023571
537,58.00195371518753
538,108.81777366678416
540,70.54717967996169
542,125.80890052998502
543,83.46005479782373
547,120.76931594341953
549,33.34962090194299
550,69.07310537404942
558,153.6841053362678
559,31.05411744796103
564,35.907692700815154
565,73.32967194392378
566,123.29303856988524
569,24.20435668135322
572,144.26136391647452
576,111.36774778798885
577,42.780165740166105
579,159.14572968070544
580,142.3741147766485
582,59.498258618819335
587,123.1820267780482
593,83.44768771394361
594,157.05451911637238
597,169.3713140250344
598,53.004053527529265
599,82.55948489918951
602,126.80212381176928
603,30.918346803024452
606,97.38239931026007
607,164.08890258523473
608,132.15485702293844
609,53.56386322860319
610,84.82042227339444
611,144.1485212335819
612,121.55674019439658
615,132.17728732289316
616,42.72796044298868
617,85.0099546887519
620,87.73922546148403
622,147.44608529857643
623,113.47654669169548
624,80.14693320243288
626,42.868324324009436
628,68.68199847490648
630,105.29996186993904
632,163.47141650343664
633,169.07445315980297
634,113.46956875695201
635,73.79753769220109
636,65.80026323516456
637,27.031069944985475
638,63.16739003204863
640,27.90005424158518
646,60.45842964595913
648,32.14063787528331
649,153.8294786692506
650,92.2354288176868
651,142.01538548383144
652,32.202437247287506
654,119.95101972770107
655,25.616249451794467
657,24.975613868729614
658,44.06529670628371
661,80.04006086244759
663,109.07290087123941
665,3.894476292466435
668,143.27509728884831
672,169.03308074910902
673,60.59773290367338
676,156.90026884796737
677,151.53994130627586
678,55.30284461067502
679,56.05130560012866
680,51.35476993894944
682,125.33356728452456
684,129.0495229109256
685,51.29439709095914
687,72.6335461366207
692,124.86579876067435
693,116.01829826689044
695,20.732712217962323
699,115.45200074625868
700,27.12436896632178
702,161.289561062814
703,136.7760099667157
704,127.86034211282605
705,96.61041003614277
708,147.93853801099706
709,134.3726824909725
711,142.10312421582233
712,34.24955503680773
713,82.35219726820655
716,50.616736598519616
718,103.32068378286137
719,141.0018843057091
720,170.63934141252182
721,116.32960525006165
722,63.78210701384887
724,66.73241292608299
725,87.20364948649605
730,80.28998958664873
731,107.34874829140725
738,34.24885830556493
740,60.65268835238479
741,74.69340677573732
742,91.01269242494733
746,38.05982810097263
748,44.87923236628446
749,103.50710102050364
750,170.57314150391383
751,97.09428216829397
754,67.52927539747174
755,107.88212341182144
756,59.57824165115992
757,17.651334291317198
758,51.38662160729436
761,4.518301546597742
763,111.27116745583177
765,19.05707570454119
769,127.65577023597855
773,57.84294416701201
774,70.4584651831274
776,87.94203687621231
782,96.22916567836076
784,91.56488332048198
785,170.2379671253708
786,51.491781447444865
787,146.19381894817204
789,122.32473420722587
791,73.69356975051626
793,58.23065508829978
794,52.69944208209103
796,115.06536644518584
803,169.70629250221572
805,76.55349768477363
806,92.47863385250822
807,153.01349250194951
814,29.652738700602935
815,60.97251645196173
818,40.10441368200478
819,74.0426062975849
821,135.80990068659545
822,86.39165060339916
825,80.65883794364436
826,132.8212830217024
829,43.51410201032354
831,86.06175373068987
835,137.91348349303968
836,147.51639618122672
837,104.46884883707139
838,57.39479304130903
839,84.395156876197
840,8.38998841891095
843,93.79027241851301
844,114.50164927671828
845,158.5844720444535
847,129.7411270465327
848,135.73042784848803
853,136.26066694117597
854,47.60641327071902
856,45.289941776401
858,141.85756622835225
860,149.96088666018133
861,87.35724842412047
862,73.70354388069147
863,147.8175231646876
864,77.19349254466054
865,121.4751815428612
868,122.84504295447177
869,113.31774709577434
871,103.85905738666304
874,117.77233266478535
876,147.33867875665968
878,57.05246904699636
883,140.99585260744936
885,29.007124107839083
886,22.95367492010694
887,104.33792142928404
889,10.875407969602746
890,109.5975801219567
891,71.85037820470643
895,81.48686132148262
896,156.3229498869109
897,71.35354867165415
899,106.06807524648679
901,89.30257236685624
902,108.94100386835348
905,59.112606337641466
908,34.67222387424795
910,140.25011571337626
913,72.19045927728456
914,136.26199637713466
917,115.92334524184083
919,87.70627793086582
920,165.62477554908915
923,116.6074997100033
925,39.49132309028773
926,56.02215582259708
927,132.34420566046785
928,128.38095095806096
929,94.01346388986384
930,22.88314876737845
931,54.397384874393346
932,98.4506942082005
934,62.50811654416153
937,87.33333996958659
938,127.9553453258094
939,115.64067661444962
942,18.50419062956857
943,103.56499221815639
945,91.87752266662041
950,96.95253671573819
952,85.7550584766586
953,106.83871962928743
956,107.48214011746218
958,133.52234126869828
959,50.70738681902051
960,142.86622145530345
962,29.111695065488078
963,33.645776673279215
966,62.38986705164252
967,138.36093096762508
968,69.22375255619176
969,30.439745776580647
971,127.9952775102484
972,123.40062689257475
978,107.13349770428799
979,49.123433916633736
981,127.42168311046652
982,110.60151190146861
983,65.15887715567686
984,102.85121487398455
994,52.841765064468326
996,70.47231135303693
997,31.515220687669164
1000,159.5456380703485
