Event,Angle_Z_l+,Angle_Z_l-
291,125.18172027227958,16.186667035412423
292,65.80880704368404,77.45330842315452
293,105.22487028519555,44.26487775280743
294,15.679979565298364,148.4905642970991
295,56.68292333161604,91.2845656347814
296,103.42750735337513,45.15347956959707
297,105.48228047008251,42.262130738143576
298,91.86754392891275,54.548660443142595
299,131.66460674160794,27.343589469996292
300,122.15212297014757,32.15420885425864
301,7.190492833749478,167.0392318161447
302,105.95035601133686,41.900703936725726
303,52.84410333782659,64.71301659031721
304,50.710992460826574,97.37050174904843
305,35.40986851660015,120.34972098272202
306,82.07466582228159,56.78070869496113
307,76.1870527739829,68.85746682554115
308,22.982261596206428,141.79210089523352
309,117.24337645572646,34.21506619943161
310,7.868690036428321,165.3564958873314
311,126.80054692390192,30.267468818465986
312,76.59074441786728,68.07647606631657
313,106.35787629759378,22.127415458461236
314,93.3295071763962,52.13228608631228
315,107.97894178362232,42.77851494326225
316,100.85788064118945,49.88497797814271
317,133.579566338716,24.809073997027856
318,85.35849017203485,59.93224513508577
319,130.33548087497076,26.617499113064103
320,133.9052668478714,24.318384967153445
321,141.05326528180254,21.044699057991895
322,115.35459639999573,36.91870656658313
323,34.932540574715645,118.11794835455183
324,77.16950086024168,65.44283055092627
325,75.95007337558556,68.4863912464296
326,26.164908625961722,133.09974754500163
327,32.31056436377258,124.46032880116431
328,94.23731703073041,58.84243517723406
329,106.28483019622173,37.71921797031245
330,7.405895451100637,164.90915860353482
331,125.40943153441364,31.015130832996427
332,115.70494365870464,36.20365569654244
333,138.6574298550927,21.5992859679552
334,90.51816833821262,56.959876419055455
335,91.8553109081954,54.22256710867098
336,57.14701739634513,83.31277541287301
337,134.88666040419287,25.935374948161314
338,90.5991360969145,53.546330506088935
339,31.2651824603435,124.15357543480846
340,134.76783579342984,24.858871723576396
341,56.15977622003759,52.4255566191021
342,149.0754915818048,16.532683299855893
343,65.43329900540428,80.67654135669025
344,53.627665578064885,95.88732384498421
345,110.21897539996135,40.316215552255564
346,55.098525419111155,93.3919021647759
347,105.0212202767347,44.42371118859473
348,117.60379982654314,33.55991262698866
349,14.389665480082039,152.75981006619963
350,107.55650101277735,42.17385767952838
351,52.9985931492199,93.07028548938952
352,98.966010499911,49.22466817409485
353,51.473125006735984,93.4200228844367
354,129.94452551892272,27.73028015908717
355,32.26117336325538,125.9976520517276
356,43.657035413743465,105.77564197522774
357,84.66892078036211,60.61955944797978
358,46.46591921072605,103.61924120769132
359,93.13519229736109,53.44907205288448
360,112.9928974337323,39.808013479133855
361,167.83500264965988,6.515617329350624
362,24.122932325929426,135.89254724815052
363,104.60644795199505,44.58461502487187
364,136.8632431588829,23.493370595572436
365,105.33527329005705,43.13177759524347
366,46.65070914338208,101.83616236650344
367,59.360512383484206,86.8555164950435
368,132.443107046249,25.6939767846247
369,22.062343624715158,136.48749631487397
370,63.419719068183504,80.69624781391377
371,145.75346981559989,18.59453780778166
372,128.78521816541385,28.0802439862356
373,122.4823320667485,28.923954765701627
374,82.45220734436334,63.10978734724506
375,131.02062089171335,30.437561750794494
376,14.484363394219148,152.01441542944377
377,66.5312704533127,63.46599154139703
378,81.63702402418079,59.67219040366177
379,21.95337687476177,140.16860382273447
380,31.62064121758925,124.96986892169357
381,16.328937612780177,149.8951576647289
382,111.9876746664097,41.15279529163429
383,15.255219305871695,151.47326762875662
384,81.26477414872197,66.39482896252271
385,47.32046270073475,98.33276608905825
386,147.2668707679694,17.783333809822206
387,110.31959997678184,37.32474818251826
388,83.96107615041362,62.04488208571735
389,132.19396465153082,25.626723564662072
390,124.45729715446319,30.2668459569692
391,48.07440071794798,98.84993330453356
392,119.61721318695368,35.124073610806896
393,45.188301421708694,104.37558476260526
394,127.96036760932418,30.41738468075673
395,27.769744735135703,129.43379647976417
396,9.527146046684397,162.50439620007683
397,109.25947297591267,41.58873022654262
398,121.5848888462364,32.307914073968
