Event,Particle,Px,Py,Pz,Energy
26,Muon-,-34.4691047668457,48.82817840576172,8.107965469360352,60.31633758544922
26,Photon,6.678214073181152,-28.580833435058594,0.02339239977300167,29.350690841674805
27,Higgs,0.0,0.0,9.9999998245167e-15,125.0
27,Z Boson,19.46611213684082,20.30392074584961,8.892179489135742,95.50000762939453
27,Muon+,17.563549041748047,1.0832576751708984,-39.583106994628906,43.318416595458984
27,Muon-,1.9025639295578003,19.22066307067871,48.47528839111328,52.18159103393555
27,Photon,-19.46611213684082,-20.30392074584961,-8.892179489135742,29.49999237060547
28,Higgs,0.0,0.0,9.9999998245167e-15,125.0
28,Z Boson,7.1262898445129395,-11.54241943359375,-25.363195419311523,96.23712158203125
28,Muon+,43.93098831176758,13.799121856689453,-23.043792724609375,51.49150466918945
28,Muon-,-36.8046989440918,-25.341541290283203,-2.319401979446411,44.7456169128418
28,Photon,-7.1262898445129395,11.54241943359375,25.363195419311523,28.762876510620117
29,Higgs,0.0,0.0,9.9999998245167e-15,125.0
29,Z Boson,-18.741701126098633,-0.21122123301029205,-22.631656646728516,95.61483764648438
29,Muon+,8.03974723815918,-33.2615966796875,16.341886520385742,37.92149353027344
29,Muon-,-26.781448364257812,33.050376892089844,-38.97354507446289,57.69334030151367
29,Photon,18.741701126098633,0.21122123301029205,22.631656646728516,29.385164260864258
30,Higgs,0.0,0.0,9.9999998245167e-15,125.0
30,Z Boson,-23.2742919921875,-10.194268226623535,12.871383666992188,96.51687622070312
30,Electron+,11.492094039916992,34.64679718017578,15.63314151763916,39.709747314453125
30,Electron-,-34.766387939453125,-44.841064453125,-2.7617578506469727,56.807132720947266
30,Photon,23.2742919921875,10.194268226623535,-12.871383666992188,28.483123779296875
31,Higgs,0.0,0.0,9.9999998245167e-15,125.0
31,Z Boson,-31.113319396972656,-1.0793678760528564,6.539013862609863,93.18864440917969
31,Muon+,24.63111114501953,17.709640502929688,14.853521347045898,33.77811813354492
31,Muon-,-55.74443054199219,-18.78900909423828,-8.314508438110352,59.410526275634766
31,Photon,31.113319396972656,1.0793678760528564,-6.539013862609863,31.811355590820312
32,Higgs,0.0,0.0,9.9999998245167e-15,125.0
32,Z Boson,-2.303928852081299,-19.727466583251953,19.170856475830078,97.39559936523438
32,Muon+,-35.30793762207031,19.554214477539062,-5.020296096801758,40.6722526550293
32,Muon-,33.00400924682617,-39.281681060791016,24.191152572631836,56.72334671020508
32,Photon,2.303928852081299,19.727466583251953,-19.170856475830078,27.604398727416992
33,Higgs,0.0,0.0,9.9999998245167e-15,125.0
33,Z Boson,-28.165477752685547,8.303569793701172,-1.7842257022857666,95.58186340332031
33,Muon+,-57.408958435058594,-11.39452838897705,7.792247772216797,59.04535675048828
33,Muon-,29.243480682373047,19.69809913635254,-9.576473236083984,36.53650665283203
33,Photon,28.165477752685547,-8.303569793701172,1.7842257022857666,29.41813850402832
34,Higgs,0.0,0.0,9.9999998245167e-15,125.0
34,Z Boson,1.4380079507827759,-1.6226284503936768,-16.83602523803711,108.02494049072266
34,Muon+,36.00742721557617,-12.575713157653809,30.188541412353516,48.64198303222656
34,Muon-,-34.569419860839844,10.953084945678711,-47.024566650390625,59.38296127319336
34,Photon,-1.4380079507827759,1.6226284503936768,16.83602523803711,16.975055694580078
35,Higgs,0.0,0.0,9.9999998245167e-15,125.0
35,Z Boson,-16.552757263183594,11.952315330505371,-24.769603729248047,92.900390625
35,Muon+,11.461505889892578,-31.6805362701416,-23.41987419128418,41.03076934814453
35,Muon-,-28.014263153076172,43.632850646972656,-1.3497307300567627,51.86962127685547
35,Photon,16.552757263183594,-11.952315330505371,24.769603729248047,32.099609375
36,Higgs,0.0,0.0,9.9999998245167e-15,125.0
36,Z Boson,27.914169311523438,-0.4500449001789093,-9.749475479125977,95.42880249023438
36,Muon+,-5.470468997955322,12.089404106140137,35.4514274597168,37.85359573364258
36,Muon-,33.38463592529297,-12.539448738098145,-45.200904846191406,57.57521057128906
36,Photon,-27.914169311523438,0.4500449001789093,9.749475479125977,29.571195602416992
37,Higgs,0.0,0.0,9.9999998245167e-15,125.0
37,Z Boson,-22.776531219482422,2.9801948070526123,-14.048667907714844,98.07386016845703
37,Electron+,-24.331819534301758,-29.458986282348633,-40.873897552490234,55.951271057128906
37,Electron-,1.5552877187728882,32.43918228149414,26.82522964477539,42.122589111328125
37,Photon,22.776531219482422,-2.9801948070526123,14.048667907714844,26.92613983154297
38,Higgs,0.0,0.0,9.9999998245167e-15,125.0
38,Z Boson,-4.61552095413208,-13.339903831481934,-25.20500946044922,96.11144256591797
38,Electron+,-7.624195098876953,-12.113698959350586,33.962181091308594,36.85511779785156
38,Electron-,3.008674144744873,-1.2262042760849,-59.16719055175781,59.256324768066406
38,Photon,4.61552095413208,13.339903831481934,25.20500946044922,28.888553619384766
39,Higgs,0.0,0.0,9.9999998245167e-15,125.0
39,Z Boson,25.8861083984375,15.356389999389648,7.351812839508057,94.01679992675781
39,Electron+,54.048851013183594,-10.541186332702637,8.609639167785645,55.73617172241211
39,Electron-,-28.162744522094727,25.89757537841797,-1.2578259706497192,38.28063201904297
